steamId,releaseDate,year,month,firstTimeStamp,firstSales,monthlySalesGrowth
2358720,2024-08-21,2024,8,2024-08-21 16:49:35,8884308,8884308
2358720,2024-08-21,2024,9,2024-09-01 17:05:08,13482020,4597712
2358720,2024-08-21,2024,10,2024-10-01 16:56:40,18320514,4838494
570,2013-07-09,2015,1,2015-01-01 16:00:00,50881638,50881638
570,2013-07-09,2015,2,2015-02-02 16:00:00,52387574,1505936
570,2013-07-09,2015,3,2015-03-02 16:00:00,53998592,1611018
570,2013-07-09,2015,4,2015-04-02 15:00:00,55399808,1401216
570,2013-07-09,2015,5,2015-05-02 15:00:00,57016976,1617168
570,2013-07-09,2015,6,2015-06-02 15:00:00,58886871,1869895
570,2013-07-09,2015,7,2015-07-02 15:00:00,60271086,1384215
570,2013-07-09,2015,8,2015-08-02 15:00:00,61712091,1441005
570,2013-07-09,2015,9,2015-09-02 15:00:00,63141160,1429069
570,2013-07-09,2015,10,2015-10-02 15:00:00,64426261,1285101
570,2013-07-09,2015,11,2015-11-02 16:00:00,65755613,1329352
570,2013-07-09,2015,12,2015-12-02 16:00:00,67470327,1714714
570,2013-07-09,2016,1,2016-01-02 16:00:00,69371572,1901245
570,2013-07-09,2016,2,2016-02-02 16:00:00,71027565,1655993
570,2013-07-09,2016,3,2016-03-02 16:00:00,72685367,1657802
570,2013-07-09,2016,4,2016-04-02 15:00:00,74044623,1359256
570,2013-07-09,2016,5,2016-05-02 15:00:00,75512637,1468014
570,2013-07-09,2016,6,2016-06-02 15:00:00,77164893,1652256
570,2013-07-09,2016,7,2016-07-02 15:00:00,78704168,1539275
570,2013-07-09,2016,8,2016-08-02 15:00:00,80021463,1317295
570,2013-07-09,2016,9,2016-09-02 15:00:00,81137154,1115691
570,2013-07-09,2016,10,2016-10-02 15:00:00,82438412,1301258
570,2013-07-09,2016,11,2016-11-02 15:00:00,87761006,5322594
570,2013-07-09,2016,12,2016-12-02 16:00:00,89936562,2175556
570,2013-07-09,2017,1,2017-01-02 16:00:00,91434962,1498400
570,2013-07-09,2017,2,2017-02-02 16:00:00,92748278,1313316
570,2013-07-09,2017,3,2017-03-02 16:00:00,94074978,1326700
570,2013-07-09,2017,4,2017-04-02 15:00:00,95253971,1178993
