year,month,newReleases
1997,6,118
2006,3,118
2007,1,118
2007,3,944
2007,5,118
2007,6,236
2007,7,236
2007,9,118
2007,10,118
2007,11,118
2007,12,118
2008,2,354
2008,3,354
2008,7,118
2008,9,118
2008,11,118
2009,1,118
2009,3,118
2009,5,236
2009,7,1180
2009,8,236
2009,9,944
2009,10,472
2009,11,236
2009,12,236
2010,1,118
2010,2,236
2010,3,354
2010,4,472
2010,5,236
2010,6,1421
2010,7,118
2010,8,118
2010,9,1062
2010,10,944
2010,11,472
2011,1,472
2011,2,118
2011,3,472
2011,4,236
2011,5,236
2011,6,354
2011,7,236
2011,8,236
2011,9,472
2011,10,354
2011,11,472
2012,1,118
2012,2,236
2012,3,118
2012,4,236
2012,5,597
2012,6,236
2012,7,354
2012,8,118
2012,9,708
2012,10,944
2012,11,1180
2012,12,236
2013,1,118
2013,2,236
2013,3,354
2013,4,590
2013,5,472
2013,6,590
2013,7,118
2013,8,708
2013,9,944
2013,10,1180
2013,11,944
2013,12,590
2014,1,590
2014,2,708
2014,3,826
2014,4,472
2014,5,1062
2014,6,472
2014,7,590
2014,8,590
2014,9,826
2014,10,2360
2014,11,590
2014,12,708
2015,1,590
2015,2,1275
2015,3,466
2015,4,1038
2015,5,688
2015,6,905
2015,7,902
2015,8,777
2015,9,448
2015,10,445
2015,11,432
2015,12,214
2016,1,636
2016,2,632
2016,3,624
2016,4,1281
2016,5,816
2016,6,808
2016,7,832
2016,8,1089
2016,9,699
2016,10,291
2016,11,403
2016,12,665
2017,1,188
2017,2,761
2017,3,754
2017,4,1001
2017,5,855
2017,6,623
2017,7,568
2017,8,1176
2017,9,699
2017,10,935
2017,11,756
2017,12,174
2018,1,342
2018,2,1013
2018,3,574
2018,4,434
2018,5,796
2018,6,426
2018,7,625
2018,8,1090
2018,9,444
2018,10,438
2018,11,720
2018,12,474
2019,1,140
2019,2,394
2019,3,558
2019,4,268
2019,5,938
2019,6,520
2019,7,647
2019,8,822
2019,9,617
2019,10,305
2019,11,437
2019,12,553
2020,1,116
2020,2,285
2020,3,451
2020,4,232
2020,5,189
2020,6,583
2020,7,484
2020,8,272
2020,9,736
2020,10,494
2020,11,252
2020,12,110
2021,1,390
2021,2,281
2021,3,264
2021,4,400
2021,5,336
2021,6,606
2021,7,437
2021,8,212
2021,9,396
2021,10,333
2021,11,166
2021,12,245
2022,1,143
2022,2,240
2022,3,377
2022,4,320
2022,5,270
2022,6,251
2022,7,156
2022,8,357
2022,9,574
2022,10,356
2022,11,336
2022,12,96
2023,1,140
2023,2,146
2023,3,259
2023,4,270
2023,5,240
2023,6,85
2023,7,64
2023,8,144
2023,9,176
2023,10,312
2023,11,251
2023,12,120
2024,1,130
2024,2,151
2024,3,122
2024,4,77
2024,5,59
2024,6,30
2024,7,142
2024,8,97
2024,9,35
2024,10,98
