steamId,last_30_avg,tags,genres,features
1316910,12.41,"['Action', 'Colorful', 'Platformer', 'Controller', 'Multiplayer', 'Psychological Horror', 'Singleplayer', 'Difficult', 'Party', 'Arcade', 'Cute', '3D Platformer', 'Online Co-Op', 'Great Soundtrack', 'Anime', 'Classic', 'Remake', 'Souls-like', 'Local Multiplayer']",['Action'],"['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']"
1133760,36.62,"['JRPG', 'RPG', 'Story Rich', 'Exploration', 'Party-Based RPG', 'Adventure', 'Puzzle', 'Fantasy', 'Singleplayer', 'Sci-fi', 'Magic', 'Time Travel', 'Text-Based', 'Great Soundtrack', 'Drama', 'Nostalgia', 'Classic', 'Anime', 'Soundtrack', 'Turn-Based Combat']","['Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
1647550,26.92,"['RPG', 'JRPG', 'Action RPG', '2.5D', '3D', '2D', 'Comic Book', 'Story Rich', 'Action', 'Controller', 'Anime', 'Linear', 'Colorful', 'Fantasy', 'Atmospheric', 'Drama', 'Emotional', 'Great Soundtrack', 'Singleplayer', 'Modern']","['Action', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
514310,2.02,"['Anime', 'Rhythm', 'Nudity', 'Casual', 'Sexual Content', 'Female Protagonist', 'Cute', 'Mature', 'Singleplayer', 'Cooking', 'Ninja', 'Story Rich', 'Memes']",['Casual'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']"
229480,5.61,"[""Beat 'em up"", 'Arcade', 'Action', 'RPG', 'Online Co-Op', 'Local Co-Op', 'Dungeons & Dragons', 'Adventure', 'Side Scroller', 'Co-op', 'Classic', 'Fantasy', '4 Player Local', 'Retro', '2D', 'Dwarf', 'Pixel Graphics', 'Local Multiplayer', 'Multiplayer', 'Singleplayer']","['Action', 'Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']"
1179210,20.07,"['Action', 'Simulation', 'Comedy', 'Destruction', 'Family Friendly', 'Colorful', 'Funny', 'Physics', 'Horror', 'Cute', 'Atmospheric', 'Casual', 'Survival Horror', 'Artificial Intelligence', 'Co-op', 'Sandbox', 'Party Game', 'Survival', ""Shoot 'Em Up"", 'Massively Multiplayer']","['Action', 'Casual', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
610190,9.89,"['Action', 'Musou', 'Hack and Slash', 'Anime', 'Singleplayer', 'Female Protagonist']",['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']"
407810,3.01,"['Action', 'FPS', 'Adventure', 'Cyberpunk', 'Shooter', 'Robots', 'Singleplayer', 'Sci-fi', 'First-Person', 'Nudity', 'Fast-Paced', 'Horror', 'Multiplayer']","['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on TV', 'Family Sharing']"
2175540,631.29,"['RPG', 'JRPG', 'Party-Based RPG', '3D', 'Anime', 'Silent Protagonist', 'Villain Protagonist', 'Creature Collector', 'Turn-Based Combat', 'Fantasy', 'Singleplayer', 'Story Rich', 'Cute', 'Dragons', 'Turn-Based', 'Deckbuilding', 'Collectathon', 'Medieval', 'Magic', 'Turn-Based Tactics']",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
452510,,"['Anime', '2D Fighter', 'Fighting', 'Action', 'Great Soundtrack', 'Local Multiplayer', 'Arcade', 'Controller', 'Singleplayer', '2D', 'Cute', 'eSports', 'Multiplayer', 'Difficult']",['Action'],"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']"
