name,averageRevenue,medianRevenue,totalRevenue,publishedGames
RealityBeholder,264396,264396,264396,1
Taboo Toad,256858,256858,256858,1
Shady Corner Games,73906.08333333333,14237.5,2660619,36
Stellar Circle,259311,259311,259311,1
Gilligames,257628,257628,257628,1
Bedtime Digital Games,133769.5,57222,802617,6
4Divinity,7323729,367491,36618645,5
VEWO Interactive Inc.,674905.5,674905.5,1349811,2
Endless Loop Studios,91507.27272727272,67778,1006580,11
LCGaming,133809,133809,267618,2
SCT,264499.4,206616,1322497,5
Erik Svedäng AB,110204,74823,330612,3
Retrovibe,191000.14285714287,57278,1337001,7
Rake in Grass,257643.75,43780.5,2061150,8
Intostudio,254553,254553,254553,1
Reverb Triple XP,229561.6,42493.5,2295616,10
Adult Swim Games,1095657.2857142857,254545,7669601,7
Aerovery Lab,254789,254789,254789,1
Final Boss Entertainment,133045.5,133045.5,266091,2
worm club,184349.33333333334,167030,553048,3
Crasleen Games,255146,255146,255146,1
Thermite Games,238485.2267844822,145297,1907881.8142758575,8
Apogee Entertainment,462517.9,42658.5,9250358,20
marbenx,253698,253698,253698,1
Intragames,122429.85714285714,81999,857009,7
LunchHouse Software,254877,254877,254877,1
Studio Ginkgo,418143,444455,1254429,3
Rafale Software,249049,249049,249049,1
Samurai Punk,76224.66666666667,52635.5,457348,6
Nightstuff Games,241627,241627,241627,1
Siege Games,593328.5,593328.5,1186657,2
Interplay Inc.,85302.64285714286,70098,1194237,14
Tiny Flame Games,241435,241435,241435,1
Mehsoft,98044.5,55672,588267,6
PimpGameStudio,85657.33333333333,1778,256972,3
Tewtiy,254282,254282,254282,1
DelusionArt Studio,256716,256716,256716,1
PlaySide,1320689.2274923462,226990,3962067.6824770384,3
Arcade Oven,252392,252392,252392,1
Iván Marcelo Pretti,252682,252682,252682,1
Pirozhok Studio,251548,251548,251548,1
Zoo Corporation,18261.268292682926,1768,748712,41
Phoenixx Inc.,62637.98588501782,19659,1565949.6471254455,25
Spheroom,126433,126433,252866,2
Camel 101,97966.25,69497.5,391865,4
"Acttil, LLC.",250726,250726,250726,1
