number,value,params_dropout_rate,params_hidden_layers,params_hidden_units,params_learning_rate,params_tree_depth,state
0,2.2472220829554965,0.7966668141660387,2,320,0.005155903963673008,13,COMPLETE
1,,0.8480040207010648,1,256,0.005446263033722706,12,FAIL
