steamId,sales,timeStamp,releaseDate,days_since_release
965310,1065.7142857142858,2019-02-01 21:00:00,2019-01-22,30
965320,1115.5714285714284,2019-02-01 21:00:00,2019-01-22,30
976310,193504.93548387097,2019-05-01 20:00:00,2019-04-23,30
976730,1546516.0,2020-01-01 21:00:00,2019-12-03,29
983870,66454.0,2024-06-02 00:20:00,2024-05-03,30
983870,67423.0,2024-06-02 21:54:03,2024-05-03,30
990080,3347141.0,2023-03-12 21:05:09,2023-02-10,30
991260,11608.0,2019-11-01 20:00:00,2019-10-22,30
996580,75207.0,2019-10-01 20:00:00,2019-09-03,28
1020790,35163.0,2023-12-17 01:37:11,2023-11-17,30
1030830,115591.0,2020-06-17 15:00:00,2020-05-19,29
1056960,122996.32258064517,2019-08-01 20:00:00,2019-07-25,30
1056970,3269.5806451612902,2019-08-01 20:00:00,2019-07-25,30
1063730,2693745.3225806453,2021-10-01 20:00:00,2021-09-28,30
1064070,504.0,2024-09-15 19:51:37,2024-08-16,30
1086940,5615575.0,2023-09-02 20:00:36,2023-08-03,30
1142100,6712.0,2020-10-01 20:00:00,2020-09-17,30
1151340,256844.0,2020-05-15 09:00:00,2020-04-14,31
1158310,521554.0,2020-10-01 20:00:00,2020-09-01,30
1158850,37759.12903225806,2021-08-01 20:00:00,2021-07-26,30
1167750,11566.0,2023-11-03 01:23:05,2023-10-04,30
1172380,801153.947368421,2019-12-01 21:00:00,2019-11-14,30
1172620,734614.0,2020-07-01 20:00:00,2020-06-03,28
1174180,1028253.0,2020-01-03 10:00:00,2019-12-05,29
1180660,31396.33333333333,2020-09-01 20:00:00,2020-08-27,30
1184050,73063.35483870968,2020-05-01 20:00:00,2020-04-28,30
1213210,354094.0,2020-07-04 09:00:00,2020-06-05,29
1222680,325458.0,2020-07-01 20:00:00,2020-06-04,27
1222690,37620.0,2020-07-01 20:00:00,2020-06-04,27
1222730,386649.0,2020-10-30 09:00:00,2020-10-01,29
1225560,10091.0,2020-07-01 20:00:00,2020-06-04,27
